rgn_id,stock_id_taxonkey,year,mean_catch
1,Gerres_cinereus-87_601054,2003,5
1,Haemulon_steindachneri-87_601142,2003,3
1,Hemiramphus-87_509289,2003,0
1,Isacia_conceptionis-87_600397,2003,40
1,Katsuwonus_pelamis-87_600107,2003,0
1,Larimus_pacificus-87_614009,2003,12
1,Menticirrhus-87_502790,2003,5
1,Merluccius_gayi_peruanus-87_614693,2003,63
1,Miscellaneous_marine_crustaceans-87_100047,2003,0
1,Mugil_cephalus-87_600785,2003,3227
1,Muraenidae-87_400056,2003,0
1,Mustelus_whitneyi-87_605939,2003,243
1,Myliobatidae-87_400022,2003,3732
1,Octopus-87_590013,2003,42
1,Odontesthes_regia-87_608172,2003,8
1,Panulirus_gracilis-87_690619,2003,0
1,Paralabrax_humeralis-87_600352,2003,525
1,Paralichthyidae-87_400514,2003,0
1,Paralichthys_adspersus-87_610573,2003,0
1,Paralonchurus_peruanus-87_600424,2003,203
1,Penaeus_californiensis-87_690444,2003,320
1,Peprilus-87_501164,2003,81
1,Perciformes-87_300060,2003,0
1,Pomacentridae-87_400350,2003,0
1,Pteriida-87_490109,2003,0
1,Rhinobatos_planiceps-87_600149,2003,33
1,Sarda_chiliensis-87_600113,2003,203
1,Sardinops_sagax-87_601477,2003,289
1,Sciaenidae-87_400331,2003,1976
1,Scomber_japonicus-87_600117,2003,1940
1,Scomberomorus_sierra-87_600136,2003,0
1,Scorpaena-87_500134,2003,0
1,Selene_peruviana-87_601958,2003,0
1,Seriola_rivoliana-87_601007,2003,0
1,Seriola-87_500928,2003,3
1,Seriolella_violacea-87_613020,2003,14
1,Sphyrna_zygaena-87_600917,2003,0
1,Squatina_californica-87_600729,2003,2
1,Trachinotus_paitensis-87_601972,2003,9
1,Trachurus_murphyi-87_600367,2003,2670
1,Trichiurus_lepturus-87_601288,2003,0
1,Xiphias_gladius-87_600226,2003,0
1,Abudefduf-87_509206,2004,0
1,Actinopterygii-87_200006,2004,0
1,Albula_vulpes-87_600228,2004,0
1,Anisotremus_scapularis-87_608255,2004,0
1,Argopecten_purpuratus-87_690303,2004,735
1,Ariidae-87_400145,2004,4
1,Auxis_rochei-87_600093,2004,0
1,Brachyura-87_490097,2004,0
1,Brotula_clarkae-87_608275,2004,0
1,Calamus-87_501551,2004,0
1,Caranx_caballus-87_601900,2004,0
1,Carcharhinus-87_500816,2004,0
1,Caulolatilus-87_501615,2004,0
1,Cheilodactylus_variegatus-87_600461,2004,0
1,Cilus_gilberti-87_690627,2004,0
1,Coryphaena_hippurus-87_600006,2004,292
1,Cynoscion_analis-87_600403,2004,267
1,Dasyatis-87_500646,2004,1
1,Doryteuthis_gahi-87_690296,2004,1794
1,Dosidicus_gigas-87_690206,2004,4200
1,Engraulis_ringens-87_600004,2004,708178
1,Epinephelus-87_500366,2004,0
1,Ethmidium_maculatum-87_601593,2004,0
1,Gastropoda-87_290006,2004,352
1,Gerres_cinereus-87_601054,2004,0
1,Haemulon_steindachneri-87_601142,2004,0
1,Hemiramphus-87_509289,2004,0
1,Isacia_conceptionis-87_600397,2004,10
1,Katsuwonus_pelamis-87_600107,2004,0
1,Larimus_pacificus-87_614009,2004,0
1,Menticirrhus-87_502790,2004,2
1,Merluccius_gayi_peruanus-87_614693,2004,111
1,Miscellaneous_marine_crustaceans-87_100047,2004,0
1,Mugil_cephalus-87_600785,2004,947
1,Muraenidae-87_400056,2004,0
1,Mustelus_whitneyi-87_605939,2004,184
1,Myliobatidae-87_400022,2004,1354
1,Octopus-87_590013,2004,72
1,Odontesthes_regia-87_608172,2004,24
1,Panulirus_gracilis-87_690619,2004,0
1,Paralabrax_humeralis-87_600352,2004,188
1,Paralichthyidae-87_400514,2004,0
1,Paralichthys_adspersus-87_610573,2004,0
1,Paralonchurus_peruanus-87_600424,2004,731
1,Penaeus_californiensis-87_690444,2004,461
1,Peprilus-87_501164,2004,43
1,Perciformes-87_300060,2004,1
1,Pomacentridae-87_400350,2004,0
1,Pristidae-87_400016,2004,0
1,Pteriida-87_490109,2004,0
1,Rhinobatos_planiceps-87_600149,2004,28
1,Sarda_chiliensis-87_600113,2004,123
1,Sardinops_sagax-87_601477,2004,246
1,Sciaenidae-87_400331,2004,959
1,Scomber_japonicus-87_600117,2004,908
1,Scomberomorus_sierra-87_600136,2004,0
1,Scorpaena-87_500134,2004,0
1,Selene_peruviana-87_601958,2004,0
1,Seriola_rivoliana-87_601007,2004,0
1,Seriola-87_500928,2004,0
1,Seriolella_violacea-87_613020,2004,0
1,Sphyrna_zygaena-87_600917,2004,0
1,Squatina_californica-87_600729,2004,0
1,Trachinotus_paitensis-87_601972,2004,2
1,Trachurus_murphyi-87_600367,2004,1364
1,Trichiurus_lepturus-87_601288,2004,0
1,Xiphias_gladius-87_600226,2004,0
