rgn_id,stock_id,year,bbmsy
1,Merluccius_gayi_peruanus-87,2016,0.5322925
1,Merluccius_gayi_peruanus-87,2017,0.5274034
1,Mugil_cephalus-87,2001,0.656792
1,Mugil_cephalus-87,2002,0.5688614
1,Mugil_cephalus-87,2003,0.5090535
1,Mugil_cephalus-87,2004,0.4634932
1,Mugil_cephalus-87,2005,0.4351745
1,Mugil_cephalus-87,2006,0.4215541
1,Mugil_cephalus-87,2007,0.415811
1,Mugil_cephalus-87,2008,0.4127089
1,Mugil_cephalus-87,2009,0.4132924
1,Mugil_cephalus-87,2010,0.4172364
1,Mugil_cephalus-87,2011,0.4238753
1,Mugil_cephalus-87,2012,0.4335052
1,Mugil_cephalus-87,2013,0.4419218
1,Mugil_cephalus-87,2014,0.4462283
1,Mugil_cephalus-87,2015,0.4504545
1,Mugil_cephalus-87,2016,0.4513996
1,Mugil_cephalus-87,2017,0.4493883
1,Paralabrax_humeralis-87,2001,0.3436879
1,Paralabrax_humeralis-87,2002,0.3205485
1,Paralabrax_humeralis-87,2003,0.2970174
1,Paralabrax_humeralis-87,2004,0.2831601
1,Paralabrax_humeralis-87,2005,0.2937105
1,Paralabrax_humeralis-87,2006,0.3156105
1,Paralabrax_humeralis-87,2007,0.3429947
1,Paralabrax_humeralis-87,2008,0.3759288
1,Paralabrax_humeralis-87,2009,0.4053674
1,Paralabrax_humeralis-87,2010,0.4387076
1,Paralabrax_humeralis-87,2011,0.4728953
1,Paralabrax_humeralis-87,2012,0.5029614
1,Paralabrax_humeralis-87,2013,0.5400958
1,Paralabrax_humeralis-87,2014,0.5843667
1,Paralabrax_humeralis-87,2015,0.603616
1,Paralabrax_humeralis-87,2016,0.6003224
1,Paralabrax_humeralis-87,2017,0.592663
1,Prionace_glauca-87,2001,1.818567
1,Prionace_glauca-87,2002,1.816123
1,Prionace_glauca-87,2003,1.811644
1,Prionace_glauca-87,2004,1.805516
1,Prionace_glauca-87,2005,1.802556
1,Prionace_glauca-87,2006,1.790613
1,Prionace_glauca-87,2007,1.786351
