goal,dimension,region_id,score
LE,future,7,100
LE,pressures,6,
LE,pressures,7,
LE,resilience,6,
LE,resilience,7,
LE,score,0,98.47
LE,score,6,99.75
LE,score,7,97.19
LE,status,0,96.94
LE,status,6,99.5
LE,status,7,94.39
LE,trend,6,0.78
LE,trend,7,0.64
LIV,future,0,100
LIV,future,6,100
LIV,future,7,100
LIV,pressures,6,49.65
LIV,pressures,7,49.65
LIV,resilience,6,60.61
LIV,resilience,7,60.61
LIV,score,0,99.5
LIV,score,6,99.5
LIV,score,7,99.5
LIV,status,0,98.99
LIV,status,6,98.99
LIV,status,7,98.99
LIV,trend,6,0.95
LIV,trend,7,0.93
LSP,future,0,49.37
LSP,future,6,32.91
LSP,future,7,65.83
LSP,pressures,6,55.95
LSP,pressures,7,55.95
LSP,resilience,6,67
LSP,resilience,7,48.25
LSP,score,0,49.51
LSP,score,6,32.33
LSP,score,7,66.69
LSP,status,0,49.65
LSP,status,6,31.75
LSP,status,7,67.55
LSP,trend,6,0
LSP,trend,7,0
MAR,future,0,100
MAR,future,6,100
MAR,future,7,100
MAR,pressures,6,42.36
MAR,pressures,7,33.17
MAR,resilience,6,57.83
MAR,resilience,7,48.46
MAR,score,0,100
MAR,score,6,100
MAR,score,7,100
MAR,status,0,100
MAR,status,6,100
MAR,status,7,100
MAR,trend,6,0.46
MAR,trend,7,0.46
NP,future,0,61.23
NP,future,6,62.26
NP,future,7,60.21
NP,pressures,6,26.11
NP,pressures,7,26.11
NP,resilience,6,66.75
NP,resilience,7,55.31
NP,score,0,57.93
NP,score,6,58.44
NP,score,7,57.41
NP,status,0,54.62
NP,status,6,54.62
NP,status,7,54.62
NP,trend,6,0.01
NP,trend,7,0.01
SP,future,0,60.9
SP,future,6,52.71
SP,future,7,69.09
SP,pressures,6,
SP,pressures,7,
SP,resilience,6,
SP,resilience,7,
SP,score,0,58.89
SP,score,6,50.32
SP,score,7,67.46
SP,status,0,56.88
SP,status,6,47.94
SP,status,7,65.83
SP,trend,6,0.06
SP,trend,7,0.07
SPP,future,0,97.37
SPP,future,6,99.38
SPP,future,7,95.37
SPP,pressures,6,49.8
SPP,pressures,7,48.84
SPP,resilience,6,65.33
SPP,resilience,7,51.58
SPP,score,0,96.1
SPP,score,6,97.1
SPP,score,7,95.1
SPP,status,0,94.82
SPP,status,6,94.82
SPP,status,7,94.82
SPP,trend,6,-0
SPP,trend,7,-0
TR,future,0,79.83
TR,future,6,96.79
TR,future,7,62.88
TR,pressures,6,60.88
TR,pressures,7,60.88
TR,resilience,6,67
TR,resilience,7,48.25
TR,score,0,81.19
TR,score,6,96.81
TR,score,7,65.58
TR,status,0,82.55
