rgn_id,stock_id_taxonkey,year,catch
2,Isacia_conceptionis-87_600397,2004,9
2,Sardinops_sagax-87_601477,2004,221.4
2,Scomber_japonicus-87_600117,2004,817.2
2,Trachurus_murphyi-87_600367,2004,1227.6
2,Cheilodactylus_variegatus-87_600461,2005,0
2,Ethmidium_maculatum-87_601593,2005,0
2,Isacia_conceptionis-87_600397,2005,36.9
2,Sardinops_sagax-87_601477,2005,216.9
2,Scomber_japonicus-87_600117,2005,581.4
2,Trachurus_murphyi-87_600367,2005,358.2
2,Cetengraulis_mysticetus-87_600548,2006,0
2,Cheilodactylus_variegatus-87_600461,2006,0
2,Decapterus_macrosoma-87_601938,2006,0.0522
2,Ethmidium_maculatum-87_601593,2006,0
2,Isacia_conceptionis-87_600397,2006,21.6
2,Opisthonema_libertate-87_601484,2006,0.3375
2,Sardinops_sagax-87_601477,2006,0
2,Scomber_japonicus-87_600117,2006,490.5
2,Trachurus_murphyi-87_600367,2006,909.9
2,Cetengraulis_mysticetus-87_600548,2007,0
2,Cheilodactylus_variegatus-87_600461,2007,1.8
2,Decapterus_macrosoma-87_601938,2007,8.9235
2,Ethmidium_maculatum-87_601593,2007,0
2,Isacia_conceptionis-87_600397,2007,72
2,Opisthonema_libertate-87_601484,2007,0
2,Sardinops_sagax-87_601477,2007,0
2,Scomber_japonicus-87_600117,2007,671.4
2,Trachurus_murphyi-87_600367,2007,934.2
2,Cetengraulis_mysticetus-87_600548,2008,0
2,Cheilodactylus_variegatus-87_600461,2008,0
2,Decapterus_macrosoma-87_601938,2008,109.5084
2,Ethmidium_maculatum-87_601593,2008,0.9
2,Isacia_conceptionis-87_600397,2008,101.7
2,Opisthonema_libertate-87_601484,2008,6.0399
2,Sardinops_sagax-87_601477,2008,0
2,Scomber_japonicus-87_600117,2008,1165.5
2,Trachurus_murphyi-87_600367,2008,1615.5
2,Cetengraulis_mysticetus-87_600548,2009,0
2,Cheilodactylus_variegatus-87_600461,2009,2.7
2,Decapterus_macrosoma-87_601938,2009,60.255
2,Ethmidium_maculatum-87_601593,2009,5.4
2,Isacia_conceptionis-87_600397,2009,139.5
2,Opisthonema_libertate-87_601484,2009,4.878
2,Sardinops_sagax-87_601477,2009,0
2,Scomber_japonicus-87_600117,2009,1932.3
2,Trachurus_murphyi-87_600367,2009,1122.3
2,Cetengraulis_mysticetus-87_600548,2010,0
2,Cheilodactylus_variegatus-87_600461,2010,0
2,Decapterus_macrosoma-87_601938,2010,217.2978
2,Ethmidium_maculatum-87_601593,2010,116.1
2,Isacia_conceptionis-87_600397,2010,943.2
2,Opisthonema_libertate-87_601484,2010,212.7663
2,Sardinops_sagax-87_601477,2010,0
2,Scomber_japonicus-87_600117,2010,2298.6
2,Trachurus_murphyi-87_600367,2010,929.7
2,Cetengraulis_mysticetus-87_600548,2011,0
2,Cheilodactylus_variegatus-87_600461,2011,0.9
2,Decapterus_macrosoma-87_601938,2011,5.9814
2,Ethmidium_maculatum-87_601593,2011,2.7
2,Isacia_conceptionis-87_600397,2011,77.4
2,Opisthonema_libertate-87_601484,2011,0
2,Sardinops_sagax-87_601477,2011,0
2,Scomber_japonicus-87_600117,2011,1088.1
2,Trachurus_murphyi-87_600367,2011,793.8
2,Cetengraulis_mysticetus-87_600548,2012,111.1905
2,Cheilodactylus_variegatus-87_600461,2012,2.7
2,Decapterus_macrosoma-87_601938,2012,317.9448
2,Ethmidium_maculatum-87_601593,2012,0
2,Isacia_conceptionis-87_600397,2012,6.3
2,Opisthonema_libertate-87_601484,2012,13.5
2,Sardinops_sagax-87_601477,2012,0
2,Scomber_japonicus-87_600117,2012,2943
2,Trachurus_murphyi-87_600367,2012,276.3
2,Engraulis_ringens-87_600004,2012,148289.68
2,Cetengraulis_mysticetus-87_600548,2013,0
2,Cheilodactylus_variegatus-87_600461,2013,0.9963
2,Decapterus_macrosoma-87_601938,2013,148.0905
2,Ethmidium_maculatum-87_601593,2013,0
2,Isacia_conceptionis-87_600397,2013,6.3585
2,Opisthonema_libertate-87_601484,2013,0
2,Sardinops_sagax-87_601477,2013,0
2,Scomber_japonicus-87_600117,2013,4831.668254
2,Trachurus_murphyi-87_600367,2013,830.2386627
2,Engraulis_ringens-87_600004,2013,25142.47
2,Cetengraulis_mysticetus-87_600548,2014,0
2,Cheilodactylus_variegatus-87_600461,2014,0
2,Decapterus_macrosoma-87_601938,2014,19.9629
2,Ethmidium_maculatum-87_601593,2014,0
2,Isacia_conceptionis-87_600397,2014,66.9339
2,Opisthonema_libertate-87_601484,2014,16.5618
2,Sardinops_sagax-87_601477,2014,0
2,Scomber_japonicus-87_600117,2014,4090.896608
2,Trachurus_murphyi-87_600367,2014,813.8018475
2,Engraulis_ringens-87_600004,2014,37769.84
2,Cetengraulis_mysticetus-87_600548,2015,0
2,Cheilodactylus_variegatus-87_600461,2015,2.0601
2,Decapterus_macrosoma-87_601938,2015,13.131
2,Ethmidium_maculatum-87_601593,2015,0
2,Isacia_conceptionis-87_600397,2015,96.9777
2,Opisthonema_libertate-87_601484,2015,0
2,Sardinops_sagax-87_601477,2015,0
2,Scomber_japonicus-87_600117,2015,11453.01289
2,Trachurus_murphyi-87_600367,2015,1645.300374
2,Engraulis_ringens-87_600004,2015,88732.52
2,Cetengraulis_mysticetus-87_600548,2016,0
2,Cheilodactylus_variegatus-87_600461,2016,4.5693
