year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1951,137,87,Scomber japonicus,Chub mackerel,600117,7.38405904488385,Scomber_japonicus-87
1951,137,87,Scomberomorus sierra,Pacific sierra,600136,685.427660591875,Scomberomorus_sierra-87
1951,137,87,Scombridae,"Mackerels, tunas, bonitos",400416,5986.98294572897,Scombridae-87
1951,137,87,Seriola,Amberjacks,500928,144.617218371953,Seriola-87
1951,137,87,Serranidae,"Basses, groupers, hinds",400289,1116.06048643945,Serranidae-87
1951,137,87,Sphyraena,"Barracudas, sennets",500372,441.726688082652,Sphyraena-87
1951,137,87,Sphyrna,Hammerhead sharks,500693,0.534635,Sphyrna-87
1951,137,87,Synodontidae,"Lizardfishes, sauries",400160,0.0460043484921327,Synodontidae-87
1951,137,87,Teuthida,Squids,390002,375.404779961635,Teuthida-87
1951,137,87,Thunnus,Tunas,501905,3.3777830066208,Thunnus-87
1951,137,87,Thunnus albacares,Yellowfin tuna,600143,87408.5598787188,Thunnus_albacares-87
1951,137,87,Trachurus murphyi,Chilean jack mackerel,600367,0.170287072835851,Trachurus_murphyi-87
1951,137,87,Triakidae,Houndsharks,400488,27.0913884429885,Triakidae-87
1951,137,87,Trichiurus,Hairtails,500114,1139.5555153412,Trichiurus-87
1952,137,87,Acanthocybium solandri,Wahoo,600089,4.9061776487505,Acanthocybium_solandri-87
1952,137,87,Alopias,Thresher sharks,500639,6.13668,Alopias-87
1952,137,87,Bothidae,Lefteye flounders,400439,212.090339639793,Bothidae-87
1952,137,87,Bramidae,Pomfrets,400319,1124.09293481298,Bramidae-87
1952,137,87,Carangidae,"Jacks, pompanos",400314,14692.2553663864,Carangidae-87
1952,137,87,Carcharhinus falciformis,Silky shark,600868,7.25244,Carcharhinus_falciformis-87
1952,137,87,Chaetodipterus zonatus,Pacific spadefish,603599,68.3282406002101,Chaetodipterus_zonatus-87
1952,137,87,Chondrichthyes,"Sharks, rays, chimaeras",200538,0.60437,Chondrichthyes-87
1952,137,87,Crassostrea gigas,Pacific cupped oyster,690283,2.41892516635149,Crassostrea_gigas-87
1952,137,87,Cynoscion analis,Peruvian weakfish,600403,2.13315097353918,Cynoscion_analis-87
1952,137,87,Dasyatis longa,Longtail stingray,613178,191.138244358932,Dasyatis_longa-87
1952,137,87,Dosidicus gigas,Jumbo flying squid,690206,831.539959698497,Dosidicus_gigas-87
1952,137,87,Engraulis ringens,Anchoveta,600004,32.8520855425027,Engraulis_ringens-87
1952,137,87,Epinephelus,"Seabasses, hinds",500366,65.6772236471994,Epinephelus-87
1952,137,87,Ethmidium maculatum,Pacific menhaden,601593,4.22921639756631,Ethmidium_maculatum-87
1952,137,87,Fistularia corneta,Pacific cornetfish,608289,10129.8230519648,Fistularia_corneta-87
1952,137,87,Haemulidae,"Grunts, sweetlips, bonnetmouths",400327,0.113666543762691,Haemulidae-87
1952,137,87,Hyporthodus mystacinus,Misty grouper,601206,17.7013420096067,Hyporthodus_mystacinus-87
1952,137,87,Isacia conceptionis,Cabinza grunt,600397,1.31812156599757,Isacia_conceptionis-87
1952,137,87,Katsuwonus pelamis,Skipjack tuna,600107,14770.4191622915,Katsuwonus_pelamis-87
1952,137,87,Litopenaeus vannamei,Whiteleg shrimp,690440,881.597907307715,Litopenaeus_vannamei-87
1952,137,87,Lobotes pacificus,Pacific tripletail,660984,44.2322671647256,Lobotes_pacificus-87
1952,137,87,Lutjanidae,Snappers,400323,88.2843140503768,Lutjanidae-87
1952,137,87,Lutjanus,Snappers,500357,113.197503843826,Lutjanus-87
1952,137,87,Malacanthidae,Tilefishes,400308,294.157021089818,Malacanthidae-87
1952,137,87,Manta birostris,Giant manta,602061,19.7623819444399,Manta_birostris-87
1952,137,87,Marine fishes not identified,Marine fishes nei,100039,13337.8364459636,Marine_fishes_not_identified-87
1952,137,87,Miscellaneous aquatic invertebrates,Aquatic invertebrates,100077,35.2928619846945,Miscellaneous_aquatic_invertebrates-87
1952,137,87,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",100047,5.94784516728262,Miscellaneous_marine_crustaceans-87
1952,137,87,Mugil,Grey mullets,500152,37.4706430788477,Mugil-87
1952,137,87,Mugil cephalus,Flathead grey mullet,600785,2.43084498110831,Mugil_cephalus-87
1952,137,87,Mugilidae,"Mullets, grey mullets",400359,37.4706430788477,Mugilidae-87
1952,137,87,Mycteroperca,"Scamps, gags",503028,212.110095092821,Mycteroperca-87
1952,137,87,Mycteroperca xenarcha,Broomtail grouper,603334,26.7208081917706,Mycteroperca_xenarcha-87
